"Date","Price","Open","High","Low","Change %"
"May 03, 2019","0.8927","0.8946","0.8982","0.8923","-0.21%"
"May 02, 2019","0.8946","0.8927","0.8954","0.8913","0.17%"
"May 01, 2019","0.8931","0.8915","0.8939","0.8877","0.16%"
"Apr 30, 2019","0.8917","0.8940","0.8949","0.8902","-0.26%"
"Apr 29, 2019","0.8940","0.8968","0.8976","0.8935","-0.33%"
"Apr 28, 2019","0.8970","0.8967","0.8975","0.8960","-0.01%"
"Apr 26, 2019","0.8970","0.8982","0.9000","0.8948","-0.14%"
"Apr 25, 2019","0.8983","0.8960","0.8996","0.8959","0.20%"
"Apr 24, 2019","0.8965","0.8908","0.8978","0.8903","0.66%"
"Apr 23, 2019","0.8906","0.8883","0.8936","0.8879","0.28%"
"Apr 22, 2019","0.8881","0.8895","0.8901","0.8878","-0.15%"
"Apr 21, 2019","0.8894","0.8893","0.8898","0.8888","0.04%"
"Apr 19, 2019","0.8890","0.8896","0.8907","0.8886","-0.16%"
"Apr 18, 2019","0.8904","0.8852","0.8909","0.8845","0.59%"
"Apr 17, 2019","0.8852","0.8866","0.8867","0.8830","-0.14%"
"Apr 16, 2019","0.8864","0.8847","0.8865","0.8837","0.25%"
"Apr 15, 2019","0.8842","0.8850","0.8855","0.8833","-0.06%"
"Apr 14, 2019","0.8848","0.8849","0.8853","0.8844","-0.01%"
"Apr 12, 2019","0.8848","0.8886","0.8888","0.8830","-0.44%"
"Apr 11, 2019","0.8887","0.8871","0.8891","0.8858","0.18%"
"Apr 10, 2019","0.8871","0.8878","0.8905","0.8858","-0.09%"
"Apr 09, 2019","0.8879","0.8870","0.8885","0.8859","-0.02%"
"Apr 08, 2019","0.8881","0.8914","0.8919","0.8869","-0.36%"
"Apr 07, 2019","0.8913","0.8914","0.8918","0.8910","-0.02%"
"Apr 05, 2019","0.8915","0.8910","0.8921","0.8891","0.03%"
"Apr 04, 2019","0.8912","0.8900","0.8925","0.8888","0.12%"
"Apr 03, 2019","0.8901","0.8924","0.8929","0.8883","-0.26%"
"Apr 02, 2019","0.8924","0.8915","0.8942","0.8914","0.07%"
"Apr 01, 2019","0.8918","0.8914","0.8926","0.8888","0.10%"
"Mar 31, 2019","0.8910","0.8899","0.8913","0.8894","-0.05%"
"Mar 29, 2019","0.8914","0.8910","0.8922","0.8890","0.10%"
"Mar 28, 2019","0.8905","0.8892","0.8919","0.8879","0.13%"
"Mar 27, 2019","0.8893","0.8873","0.8895","0.8861","0.18%"
